               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065023,            0.025971,                   0,             0.48298,               0.794,               0.534,             0.18951,            0.034377,            0.010183,                   0,             0.07024,           0.0033067,           0.0033067
                   1,            0.043909,            0.015966,                   0,             0.59306,                0.82,             0.75441,             0.51639,            0.028115,           0.0063917,                   0,            0.038925,           0.0053253,           0.0053253
                   2,            0.035557,            0.012147,                   0,             0.88135,             0.95081,             0.96891,             0.65447,            0.020623,           0.0052526,                   0,           0.0062906,           0.0060239,           0.0060239
                   3,            0.026058,           0.0091598,                   0,              0.9998,                   1,               0.995,             0.78164,            0.014505,           0.0043829,                   0,             0.00406,             0.00406,             0.00406
                   4,            0.023093,           0.0078696,                   0,             0.99975,                   1,               0.995,             0.68869,            0.015569,            0.004168,                   0,             0.00406,             0.00406,             0.00406
